# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2024-05-17T11:49:37   119186  RSR        Pointing     Map(Az)     p2134+0                   2024-S1-MX-26                       0.0     0      68.2  324.160776   0.698393  153.8  69.9  0 0
2024-05-17T11:53:46   119187  RSR        Calibration  Cal         7968-12703                2024-S1-MX-26                       0.0     0      12.0  324.092083   0.947722  156.2  70.5  0 0
2024-05-17T11:54:43   119188  RSR        Science      Bs          7968-12703                2024-S1-MX-26                       0.0     0     300.0  324.092083   0.947722  157.2  70.7  0 0
2024-05-17T12:00:46   119189  RSR        Science      Bs          7968-12703                2024-S1-MX-26                       0.0     0     300.0  324.092083   0.947722  161.6  71.2  0 0
2024-05-17T12:07:02   119190  RSR        Science      Bs          7968-12703                2024-S1-MX-26                       0.0     0     300.0  324.092083   0.947722  166.4  71.6  0 0
2024-05-19T08:17:17   119402  RSR        Pointing     Map(Az)     mrk501                    2024-S1-MX-26                       0.0     0      68.2  253.467569  39.760169  338.0  67.3  0 0
2024-05-19T08:20:26   119403  RSR        Calibration  Cal         8606-12701                2024-S1-MX-26                       0.0     0      12.0  255.030000  37.839500  337.4  69.3  0 0
2024-05-19T08:22:09   119404  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.0  255.030000  37.839500  336.3  69.1  0 0
2024-05-19T08:28:07   119405  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.1  255.030000  37.839500  333.4  68.5  0 0
2024-05-19T08:34:04   119406  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.0  255.030000  37.839500  330.8  67.8  0 0
2024-05-19T08:41:09   119407  RSR        Calibration  Cal         8606-12701                2024-S1-MX-26                       0.0     0      12.0  255.030000  37.839500  328.2  67.1  0 0
2024-05-19T08:42:55   119408  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.3  255.030000  37.839500  327.3  66.7  0 0
2024-05-19T08:48:55   119409  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.1  255.030000  37.839500  325.0  66.0  0 0
2024-05-19T08:54:57   119410  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.2  255.030000  37.839500  323.0  65.1  0 0
2024-05-19T09:01:28   119411  RSR        Calibration  Cal         8606-12701                2024-S1-MX-26                       0.0     0      12.0  255.030000  37.839500  321.0  64.2  0 0
2024-05-19T09:02:25   119412  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.2  255.030000  37.839500  320.7  64.0  0 0
2024-05-19T09:08:25   119413  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.0  255.030000  37.839500  319.0  63.1  0 0
2024-05-19T09:14:25   119414  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.1  255.030000  37.839500  317.4  62.1  0 0
2024-05-19T09:28:15   119415  RSR        Calibration  Cal         8606-12701                2024-S1-MX-26                       0.0     0      12.0  255.030000  37.839500  314.3  59.9  0 0
2024-05-19T09:29:52   119416  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.1  255.030000  37.839500  314.0  59.6  0 0
2024-05-19T09:36:01   119417  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.2  255.030000  37.839500  312.8  58.5  0 0
2024-05-19T09:42:05   119418  RSR        Science      Bs          8606-12701                2024-S1-MX-26                       0.0     0     300.2  255.030000  37.839500  311.8  57.5  0 0
2024-05-19T11:40:36   119437  RSR        Pointing     Map(Az)     p2134+0                   2024-S1-MX-26                       0.0     0      68.3  324.160776   0.698393  153.1  69.8  0 0
2024-05-19T11:43:42   119438  RSR        Calibration  Cal         7968-12703                2024-S1-MX-26                       0.0     0      12.0  324.092083   0.947722  154.7  70.3  0 0
2024-05-19T11:45:36   119439  RSR        Science      Bs          7968-12703                2024-S1-MX-26                       0.0     0     300.0  324.092083   0.947722  156.4  70.6  0 0
2024-05-19T11:51:34   119440  RSR        Science      Bs          7968-12703                2024-S1-MX-26                       0.0     0     300.2  324.092083   0.947722  160.6  71.1  0 0
2024-05-19T11:57:31   119441  RSR        Science      Bs          7968-12703                2024-S1-MX-26                       0.0     0     300.0  324.092083   0.947722  165.1  71.5  0 0
2024-11-05T07:02:11   121775  RSR        Pointing     Map(Az)     0818+423                  2024-S1-MX-26                       0.0     0      72.2  124.566665  42.379282   51.4  26.0  0 0
2024-11-05T07:08:34   121776  RSR        Pointing     Map(Az)     0818+423                  2024-S1-MX-26                       0.0     0      73.3  124.566665  42.379282   51.4  27.2  0 0
2024-11-05T07:14:11   121777  RSR        Calibration  Cal         8132-6101                 2024-S1-MX-26                       0.0     0      12.0  111.733750  41.026694   52.4  37.5  0 0
2024-11-05T07:16:13   121778  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     304.4  111.733750  41.026694   52.3  38.2  0 0
2024-11-05T07:23:56   121779  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     308.3  111.733750  41.026694   52.0  39.7  0 0
2024-11-05T07:31:32   121780  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     309.0  111.733750  41.026694   51.7  41.1  0 0
2024-11-05T07:40:41   121781  RSR        Calibration  Cal         8132-6101                 2024-S1-MX-26                       0.0     0      12.0  111.733750  41.026694   51.3  42.5  0 0
2024-11-05T07:42:46   121782  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     305.4  111.733750  41.026694   51.1  43.2  0 0
2024-11-05T07:50:15   121783  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     305.0  111.733750  41.026694   50.6  44.5  0 0
2024-11-05T07:57:52   121784  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     302.1  111.733750  41.026694   50.1  45.9  0 0
2024-11-05T08:07:55   121785  RSR        Calibration  Cal         8132-6101                 2024-S1-MX-26                       0.0     0      12.0  111.733750  41.026694   49.4  47.5  0 0
2024-11-05T08:09:18   121786  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     306.1  111.733750  41.026694   49.1  48.0  0 0
2024-11-05T08:16:57   121787  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     302.5  111.733750  41.026694   48.4  49.4  0 0
2024-11-05T08:23:52   121788  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     301.4  111.733750  41.026694   47.7  50.6  0 0
2024-11-05T08:49:21   121789  RSR        Pointing     Map(Az)     0824+558                  2024-S1-MX-26                       0.0     0      72.3  126.196818  55.878519   31.9  39.4  0 0
2024-11-05T08:56:07   121790  RSR        Calibration  Cal         8243-12701                2024-S1-MX-26                       0.0     0      12.0  128.687917  52.715694   36.0  40.1  0 0
2024-11-05T08:58:17   121791  RSR        Science      Bs          8243-12701                2024-S1-MX-26                       0.0     0     305.1  128.687917  52.715694   35.7  40.6  0 0
2024-11-05T09:05:51   121792  RSR        Science      Bs          8243-12701                2024-S1-MX-26                       0.0     0     303.8  128.687917  52.715694   35.0  41.7  0 0
2024-11-05T09:13:19   121793  RSR        Science      Bs          8243-12701                2024-S1-MX-26                       0.0     0     302.5  128.687917  52.715694   34.3  42.7  0 0
2024-11-09T07:21:27   122162  RSR        Pointing     Map(Az)     0818+423                  2024-S1-MX-26                       0.0     0      71.6  124.566665  42.379282   51.3  32.5  0 0
2024-11-09T07:26:58   122163  RSR        Pointing     Map(Az)     0818+423                  2024-S1-MX-26                       0.0     0      70.3  124.566665  42.379282   51.3  33.5  0 0
2024-11-09T07:32:33   122164  RSR        Calibration  Cal         8132-6101                 2024-S1-MX-26                       0.0     0      12.0  111.733750  41.026694   50.8  43.9  0 0
2024-11-09T07:34:49   122165  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     303.5  111.733750  41.026694   50.6  44.6  0 0
2024-11-09T07:42:21   122166  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     300.1  111.733750  41.026694   50.1  46.0  0 0
2024-11-09T07:49:19   122167  RSR        Science      Bs          8132-6101                 2024-S1-MX-26                       0.0     0     304.6  111.733750  41.026694   49.5  47.2  0 0
2024-11-09T07:57:18   122168  RSR        Pointing     Map(Az)     0818+423                  2024-S1-MX-26                       0.0     0      71.3  124.566665  42.379282   50.4  39.1  0 0
